I,T,R,E,A,DE,DA,H,M
23 ,1 ,S,11 ,12 ,9 ,"2,612 ","9,023 ",412 
23 ,1 ,S,5 ,21 ,4 ,"1,639 ","13,201 ",0 
23 ,2 ,T,17 ,4 ,6 ,"13,019 ",0 ,"5,379 "
23 ,2 ,D,20 ,2 ,8 ,"11,772 ",0 ,0 
23 ,2 ,S,13 ,18 ,5 ,"2,395 ","12,871 ",150 
23 ,2 ,D,27 ,1 ,7 ,"9,684 ",396 ,0 
23 ,2 ,S,15 ,15 ,10 ,"5,171 ","7,030 ",176 
24 ,1 ,T,24 ,4 ,7 ,"9,420 ",0 ,"12,094 "
24 ,1 ,D,17 ,4 ,4 ,"4,671 ",0 ,0 
24 ,1 ,D,13 ,0 ,11 ,"4,321 ",0 ,477 
24 ,1 ,S,13 ,15 ,7 ,"2,760 ","9,615 ",0 
24 ,1 ,S,7 ,8 ,9 ,"1,935 ","9,299 ","1,262 "
24 ,2 ,D,23 ,4 ,6 ,"6,267 ",0 ,"1,351 "
24 ,2 ,T,22 ,13 ,6 ,"5,217 ",0 ,"4,480 "
24 ,2 ,D,20 ,5 ,7 ,"5,932 ",0 ,0 
24 ,2 ,S,22 ,16 ,5 ,"7,339 ","7,259 ",0 
24 ,2 ,S,25 ,6 ,6 ,"6,406 ","6,568 ",0 
25 ,1 ,T,11 ,1 ,7 ,"6,857 ",0 ,"7,116 "
25 ,1 ,D,14 ,0 ,7 ,"4,876 ",0 ,0 
25 ,1 ,D,14 ,1 ,9 ,"5,231 ",0 ,0 
25 ,1 ,S,7 ,5 ,7 ,"2,343 ","7,197 ",365 
25 ,1 ,S,10 ,8 ,8 ,"3,415 ","4,377 ",0 
25 ,2 ,T,20 ,3 ,3 ,"5,941 ",0 ,"6,573 "
25 ,2 ,D,11 ,1 ,9 ,"4,637 ",463 ,86 
25 ,2 ,S,4 ,13 ,5 ,"1,331 ","9,405 ",699 
25 ,2 ,S,22 ,3 ,2 ,"7,586 ","4,845 ",0 
25 ,2 ,D,11 ,2 ,8 ,"2,803 ",0 ,0 
26 ,1 ,T,22 ,10 ,6 ,"9,489 ",0 ,"11,559 "
26 ,1 ,D,22 ,2 ,9 ,"13,771 ",0 ,0 
26 ,1 ,D,20 ,5 ,5 ,"13,949 ",0 ,27 
26 ,1 ,S,7 ,15 ,4 ,"3,530 ","14,076 ",174 
26 ,1 ,S,7 ,16 ,6 ,"2,428 ","13,049 ","1,225 "
26 ,2 ,S,3 ,19 ,4 ,134 ,"17,007 ",0 
26 ,2 ,T,16 ,6 ,7 ,"9,973 ",684 ,"13,036 "
26 ,2 ,D,16 ,0 ,9 ,"13,580 ",0 ,244 
26 ,2 ,S,5 ,8 ,4 ,"3,319 ","9,156 ","1,554 "
26 ,2 ,D,17 ,0 ,9 ,"12,514 ",0 ,0 
27 ,1 ,T,20 ,6 ,7 ,"8,984 ",0 ,"9,151 "
27 ,1 ,D,22 ,1 ,6 ,"11,807 ",0 ,0 
27 ,1 ,D,12 ,5 ,15 ,"6,772 ","1,282 ",307 
27 ,1 ,S,12 ,19 ,4 ,"2,654 ","11,568 ",762 
27 ,1 ,S,8 ,11 ,7 ,"4,540 ","11,648 ",0 
27 ,2 ,D,21 ,4 ,5 ,"13,044 ","1,678 ",939 
27 ,2 ,S,17 ,15 ,8 ,"5,282 ","10,813 ",0 
27 ,2 ,S,16 ,14 ,10 ,"4,946 ","6,637 ",428 
27 ,2 ,T,22 ,6 ,6 ,"11,222 ","1,840 ","3,809 "
27 ,2 ,D,13 ,8 ,5 ,"8,345 ",830 ,8 
28 ,1 ,T,12 ,2 ,7 ,"6,924 ",561 ,"6,508 "
28 ,1 ,D,14 ,0 ,13 ,"7,604 ","1,671 ",0 
28 ,1 ,D,15 ,1 ,10 ,"6,036 ",644 ,"1,259 "
28 ,1 ,S,8 ,10 ,7 ,"2,244 ","9,945 ",820 
28 ,1 ,S,11 ,13 ,9 ,"2,331 ","7,124 ",327 
28 ,2 ,D,19 ,6 ,8 ,"5,450 ",84 ,"1,310 "
28 ,2 ,T,23 ,10 ,8 ,"6,699 ",0 ,"3,733 "
28 ,2 ,S,19 ,12 ,4 ,"6,266 ","8,490 ",0 
28 ,2 ,S,23 ,18 ,4 ,"6,345 ","5,693 ",407 
28 ,2 ,D,31 ,4 ,7 ,"11,199 ",0 ,0 
29 ,1 ,T,4 ,1 ,6 ,"2,835 ",350 ,"2,948 "
29 ,1 ,D,3 ,0 ,4 ,"4,086 ",0 ,0 
29 ,1 ,D,4 ,0 ,9 ,"3,269 ",332 ,0 
29 ,1 ,S,1 ,2 ,5 ,887 ,"3,924 ",239 
29 ,1 ,S,0 ,2 ,5 ,246 ,"6,069 ",0 
29 ,2 ,D,15 ,1 ,1 ,"5,795 ",56 ,"1,018 "
29 ,2 ,T,24 ,6 ,1 ,"6,892 ",0 ,"8,069 "
29 ,2 ,S,8 ,10 ,1 ,"1,510 ","4,352 ",374 
29 ,2 ,D,13 ,2 ,2 ,"3,226 ",113 ,222 
29 ,2 ,S,13 ,13 ,2 ,"3,283 ","3,135 ",0 
30 ,1 ,T,10 ,6 ,9 ,"6,954 ",549 ,"6,227 "
30 ,1 ,D,13 ,1 ,2 ,"8,211 ",0 ,0 
30 ,1 ,D,13 ,3 ,10 ,"7,907 ","1,179 ",0 
30 ,1 ,S,13 ,13 ,4 ,"5,231 ","9,560 ",0 
30 ,1 ,S,5 ,10 ,5 ,"1,154 ","8,490 ","2,524 "
30 ,2 ,S,11 ,16 ,5 ,"3,689 ","9,747 ","4,192 "
30 ,2 ,S,12 ,14 ,4 ,"1,979 ","9,380 ","1,172 "
30 ,2 ,T,22 ,8 ,4 ,"10,767 ",0 ,"3,921 "
30 ,2 ,D,21 ,0 ,4 ,"7,604 ",0 ,0 
30 ,2 ,D,14 ,3 ,6 ,"8,264 ",0 ,0 
31 ,1 ,T,1 ,0 ,3 ,"3,213 ","3,261 ",929 
31 ,1 ,D,5 ,1 ,4 ,"4,409 ",0 ,0 
31 ,1 ,D,2 ,1 ,2 ,"2,890 ",0 ,284 
31 ,1 ,S,2 ,2 ,1 ,830 ,"5,146 ",126 
31 ,1 ,S,1 ,3 ,2 ,754 ,"3,264 ",99 
31 ,2 ,D,6 ,0 ,4 ,"3,617 ",38 ,218 
31 ,2 ,T,10 ,4 ,0 ,"4,325 ",0 ,"4,735 "
31 ,2 ,D,7 ,2 ,1 ,"6,977 ",0 ,0 
31 ,2 ,S,3 ,6 ,2 ,762 ,"3,866 ",45 
31 ,2 ,S,4 ,6 ,0 ,804 ,"5,799 ",0 
32 ,1 ,T,26 ,9 ,13 ,"11,806 ",0 ,"17,925 "
32 ,1 ,D,19 ,9 ,9 ,"9,741 ",117 ,"3,504 "
32 ,1 ,D,28 ,1 ,17 ,"13,073 ","1,013 ",792 
32 ,1 ,S,16 ,21 ,10 ,"3,188 ","12,818 ",729 
32 ,1 ,S,2 ,26 ,11 ,"1,858 ","13,723 ",0 
32 ,2 ,S,18 ,16 ,7 ,"4,673 ","9,626 ",0 
32 ,2 ,D,28 ,1 ,12 ,"14,274 ",623 ,"1,804 "
32 ,2 ,D,41 ,1 ,10 ,"13,704 ",0 ,"3,523 "
32 ,2 ,S,15 ,21 ,8 ,"5,166 ","13,437 ",701 
32 ,2 ,T,27 ,1 ,8 ,"11,254 ",0 ,"24,067 "
33 ,1 ,T,14 ,1 ,10 ,"12,573 ",237 ,"12,662 "
33 ,1 ,D,14 ,4 ,6 ,"9,367 ",29 ,"2,168 "
33 ,1 ,D,17 ,2 ,8 ,"11,170 ",913 ,16 
33 ,1 ,S,16 ,14 ,8 ,"3,498 ","12,687 ",108 
33 ,1 ,S,8 ,8 ,10 ,"5,105 ","7,338 ",254 
33 ,2 ,D,25 ,0 ,9 ,"12,089 ","1,059 ",713 
33 ,2 ,S,0 ,28 ,4 ,100 ,"17,667 ",0 
33 ,2 ,S,14 ,10 ,6 ,"5,867 ","7,853 ",487 
33 ,2 ,T,24 ,5 ,7 ,"11,265 ",0 ,"15,308 "
33 ,2 ,D,29 ,0 ,3 ,"10,366 ","1,104 ",0 
34 ,1 ,T,24 ,4 ,11 ,"14,645 ",0 ,"9,540 "
34 ,1 ,D,19 ,2 ,7 ,"11,453 ",0 ,0 
34 ,1 ,D,26 ,4 ,12 ,"12,646 ",285 ,"1,180 "
34 ,1 ,S,8 ,13 ,14 ,"4,219 ","8,645 ",640 
34 ,1 ,S,11 ,13 ,13 ,"3,362 ","7,520 ","3,219 "
34 ,2 ,S,10 ,29 ,8 ,"2,940 ","12,125 ",131 
34 ,2 ,D,29 ,9 ,8 ,"10,385 ",500 ,0 
