I,T,R,E,A,DE,DA,H,M
50,1,2,4,10,8,2089,9865,729
50,1,0,10,1,11,7706,0,17497
51,0,0,26,3,10,15565,0,10077
51,0,1,15,0,9,9049,41,5116
51,0,1,25,3,8,9748,2502,0
51,0,2,9,13,9,2682,10817,662
51,0,2,0,23,6,48,15254,1698
51,1,2,8,17,6,2322,11849,463
51,1,1,18,7,8,10633,0,0
51,1,0,28,3,6,14238,968,2283
51,1,1,25,2,9,11231,946,2283
51,1,2,17,22,9,6119,9399,0
52,0,0,38,8,5,13438,0,21994
52,0,1,38,7,6,14521,2526,0
52,0,1,37,0,13,10160,59,1991
52,0,2,21,30,10,5948,8129,1401
52,0,2,8,44,5,1256,13781,0
52,1,1,16,5,12,9802,253,0
52,1,1,16,0,12,9119,558,175
52,1,0,29,10,14,14491,0,19682
52,1,2,9,17,10,1052,10671,1364
52,1,2,14,15,12,3122,12682,631
53,0,0,36,3,6,11425,0,18862
53,0,1,33,4,9,11017,3057,0
53,0,1,36,0,5,9860,0,1417
53,0,2,21,23,11,4096,7658,405
53,0,2,17,32,8,4631,8997,3093
53,1,1,28,0,14,10590,0,2985
53,1,0,18,7,12,8122,0,7417
53,1,1,21,1,12,8113,756,56
53,1,2,8,17,9,2548,10580,1212
53,1,2,13,15,14,5175,8684,511
54,0,0,29,8,9,17416,0,13015
54,0,1,27,8,4,10362,13,5855
54,0,1,28,2,10,14175,751,35
54,0,2,15,18,7,3951,11031,1271
54,0,2,0,30,7,270,12404,0
54,1,2,10,18,8,2908,13200,504
54,1,1,17,0,8,9743,0,2462
54,1,2,12,21,9,3833,11832,0
54,1,0,24,9,12,9779,4204,3808
54,1,1,21,3,10,12334,0,460
55,0,0,27,3,3,15126,0,32521
55,0,1,23,10,3,12968,46,7042
55,0,1,27,2,12,14409,1122,621
55,0,2,14,25,3,5519,16943,3374
55,0,2,15,25,6,7044,13565,2756
55,1,1,15,0,11,12063,318,248
55,1,2,8,9,7,2587,14987,1326
55,1,0,9,1,7,13385,0,15892
55,1,1,18,6,9,13402,921,0
55,1,2,7,9,11,5151,15587,0
56,0,0,12,8,1,7698,1911,1633
56,0,1,13,4,1,6129,0,1807
56,0,1,11,0,8,7672,1137,0
56,0,2,4,9,3,924,8086,311
56,0,2,6,6,1,1474,6433,610
56,1,2,3,4,3,1458,7184,202
56,1,2,1,5,4,1312,6878,0
56,1,0,5,0,6,8689,849,5808
56,1,1,8,2,4,6330,57,600
56,1,1,8,2,3,5564,284,0
57,0,0,11,3,7,7038,0,11367
57,0,1,22,0,5,7687,0,1164
57,0,1,18,2,2,8790,0,1642
57,0,2,14,16,4,3833,6193,574
57,0,2,21,6,4,7472,9161,0
57,1,1,9,1,10,6067,467,1442
57,1,1,9,1,6,7160,0,952
57,1,2,7,14,5,1091,12194,0
57,1,0,12,1,9,8470,92,8266
57,1,2,8,10,7,2344,8633,582
58,0,0,23,6,6,11105,0,6993
58,0,1,20,6,4,9280,102,2236
58,0,1,28,1,8,11342,1054,0
58,0,2,1,28,6,20,9726,0
58,0,2,18,24,6,3730,9687,902
58,1,2,11,10,9,5401,7980,664
58,1,0,13,1,9,8834,0,21212
58,1,1,13,1,9,5729,922,0
58,1,2,9,10,6,2578,12131,1850
58,1,1,16,0,5,8189,381,277
59,0,0,26,7,2,10436,0,6699
59,0,1,24,6,4,6910,36,2148
59,0,1,18,2,5,5641,0,0
59,0,2,16,17,1,2719,8242,1137
59,0,2,23,21,3,7736,6463,16
59,1,1,4,2,14,5776,496,559
59,1,2,3,7,4,1674,9510,596
59,1,1,13,0,12,8870,66,610
59,1,2,2,6,7,2869,7101,666
59,1,0,6,1,8,6573,1286,7837
60,0,0,13,1,0,4188,0,2013
60,0,1,11,6,0,2748,0,1216
60,0,1,10,1,0,2411,567,0
60,0,2,8,11,0,830,2821,0
60,0,2,9,8,0,2183,2471,137
60,1,0,0,0,5,1453,90,2987
60,1,2,0,0,4,1260,2232,0
60,1,1,0,0,5,1729,148,56
60,1,2,0,0,0,355,3444,546
60,1,1,0,0,2,1485,0,0
61,0,0,16,4,9,11148,1706,8532
61,0,1,25,10,7,11090,66,6629
61,0,1,29,0,10,14530,1185,0
61,0,2,14,9,7,2871,11131,2198
61,0,2,16,16,9,5386,8992,312
61,1,2,14,15,6,3442,12824,834
61,1,2,18,12,5,6772,15797,246
61,1,1,24,5,9,13803,0,0
61,1,1,18,4,11,6533,0,2160
61,1,0,22,6,8,8679,2529,11094
62,0,0,23,7,10,11786,0,7677
62,0,1,26,8,8,10580,30,2942
62,0,1,22,0,10,11261,1063,0
62,0,2,4,14,7,1816,10514,612
62,0,2,18,14,5,6877,9913,0
62,1,1,22,1,9,8307,868,0
62,1,1,22,6,11,10010,977,0
62,1,2,14,17,9,6589,12779,402
62,1,2,9,19,9,1981,11281,75
62,1,0,23,8,7,11809,0,12783
63,0,0,18,4,4,7650,4736,1307
63,0,1,17,4,4,7173,0,822
63,0,1,19,1,4,7493,1134,0
63,0,2,16,15,4,2357,7111,494
63,0,2,7,19,3,511,7827,30
63,1,2,3,6,7,1937,6136,310
63,1,2,7,5,5,5844,4928,0
63,1,1,12,4,4,7687,150,0
63,1,1,9,0,10,6153,0,1460
63,1,0,7,5,8,5952,2267,2180
64,0,0,5,1,2,4403,0,4936
64,0,1,11,6,1,4798,82,2083
64,0,1,8,1,1,4573,645,0
64,0,2,8,3,1,2649,4202,0
64,0,2,1,8,1,254,3039,0
64,1,0,1,0,3,2471,0,11844
64,1,1,2,0,6,3133,339,0
64,1,2,1,5,3,773,5208,394
64,1,2,2,4,3,1204,4720,411
64,1,1,6,1,1,3492,319,0
65,0,0,15,2,6,9752,2101,4361
65,0,1,17,5,3,7756,42,2520
65,0,1,22,0,8,7591,0,232
65,0,2,9,14,4,1476,6720,269
65,0,2,5,12,3,1260,7544,0
65,1,0,15,4,5,9688,3396,1728
65,1,1,13,2,9,5148,616,2406
65,1,1,15,3,10,6277,153,0
65,1,2,8,14,7,2557,5138,1459
65,1,2,4,9,5,2176,7299,969
66,0,0,26,0,5,9069,0,24145
66,0,1,31,9,3,11073,2,4677
66,0,1,24,2,7,10818,0,464
66,0,2,16,16,6,4458,11228,417
66,0,2,15,28,6,4923,11266,539
66,1,0,20,4,8,10671,170,7010
66,1,1,17,1,9,7903,488,6
66,1,1,15,3,12,8992,0,0
66,1,2,15,13,8,4157,14545,0
66,1,2,2,13,12,2738,8941,825
67,0,0,27,17,1,8749,0,9894
67,0,1,17,8,2,5160,0,1678
67,0,1,26,0,3,7476,0,0
67,0,2,10,14,3,1894,7968,266
67,0,2,17,15,4,5662,6594,0
67,1,0,7,1,7,6097,3548,1536
