INDEX_1,INDEX_2,TEAM,ROLE,E,A,D,DMG,H,MIT
25,2,1,DAMAGE,14,0,7,4876,0,0
25,3,1,DAMAGE,14,1,9,5231,0,0
25,4,1,SUPPORT,7,5,7,2343,7197,365
25,5,1,SUPPORT,10,8,8,3415,4377,0
25,6,2,TANK,20,3,3,5941,0,6573
25,7,2,DAMAGE,11,1,9,4637,463,86
25,8,2,SUPPORT,4,13,5,1331,9405,699
25,9,2,SUPPORT,22,3,2,7586,4845,0
25,10,2,DAMAGE,11,2,8,2803,0,0
26,1,1,TANK,22,10,6,9489,0,11559
26,2,1,DAMAGE,22,2,9,13771,0,0
26,3,1,DAMAGE,20,5,5,13949,0,27
26,4,1,SUPPORT,7,15,4,3530,14076,174
26,5,1,SUPPORT,7,16,6,2428,13049,1225
26,6,2,SUPPORT,3,19,4,134,17007,0
26,7,2,TANK,16,6,7,9973,684,13036
26,8,2,DAMAGE,16,0,9,13580,0,244
26,9,2,SUPPORT,5,8,4,3319,9156,1554
26,10,2,DAMAGE,17,0,9,12514,0,0
27,1,1,TANK,20,6,7,8984,0,9151
27,2,1,DAMAGE,22,1,6,11807,0,0
27,3,1,DAMAGE,12,5,15,6772,1282,307
27,4,1,SUPPORT,12,19,4,2654,11568,762
27,5,1,SUPPORT,8,11,7,4540,11648,0
27,6,2,DAMAGE,21,4,5,13044,1678,939
27,7,2,SUPPORT,17,15,8,5282,10813,0
27,8,2,SUPPORT,16,14,10,4946,6637,428
27,9,2,TANK,22,6,6,11222,1840,3809
27,10,2,DAMAGE,13,8,5,8345,830,8
28,1,1,TANK,12,2,7,6924,561,6508
28,2,1,DAMAGE,14,0,13,7604,1671,0
28,3,1,DAMAGE,15,1,10,6036,644,1259
28,4,1,SUPPORT,8,10,7,2244,9945,820
28,5,1,SUPPORT,11,13,9,2331,7124,327
28,6,2,DAMAGE,19,6,8,5450,84,1310
28,7,2,TANK,23,10,8,6699,0,3733
28,8,2,SUPPORT,19,12,4,6266,8490,0
28,9,2,SUPPORT,23,18,4,6345,5693,407
28,10,2,DAMAGE,31,4,7,11199,0,0
29,1,1,TANK,4,1,6,2835,350,2948
29,2,1,DAMAGE,3,0,4,4086,0,0
29,3,1,DAMAGE,4,0,9,3269,332,0
29,4,1,SUPPORT,1,2,5,887,3924,239
29,5,1,SUPPORT,0,2,5,246,6069,0
29,6,2,DAMAGE,15,1,1,5795,56,1018
29,7,2,TANK,24,6,1,6892,0,8069
29,8,2,SUPPORT,8,10,1,1510,4352,374
29,9,2,DAMAGE,13,2,2,3226,113,222
29,10,2,SUPPORT,13,13,2,3283,3135,0
30,1,1,TANK,10,6,9,6954,549,6227
30,2,1,DAMAGE,13,1,2,8211,0,0
30,3,1,DAMAGE,13,3,10,7907,1179,0
30,4,1,SUPPORT,13,13,4,5231,9560,0
30,5,1,SUPPORT,5,10,5,1154,8490,2524
30,6,2,SUPPORT,11,16,5,3689,9747,4192
30,7,2,SUPPORT,12,14,4,1979,9380,1172
30,8,2,TANK,22,8,4,10767,0,3921
30,9,2,DAMAGE,21,0,4,7604,0,0
30,10,2,DAMAGE,14,3,6,8264,0,0
31,1,1,TANK,1,0,3,3213,3261,929
31,2,1,DAMAGE,5,1,4,4409,0,0
31,3,1,DAMAGE,2,1,2,2890,0,284
31,4,1,SUPPORT,2,2,1,830,5146,126
31,5,1,SUPPORT,1,3,2,754,3264,99
31,6,2,DAMAGE,6,0,4,3617,38,218
31,7,2,TANK,10,4,0,4325,0,4735
31,8,2,DAMAGE,7,2,1,6977,0,0
31,9,2,SUPPORT,3,6,2,762,3866,45
31,10,2,SUPPORT,4,6,0,804,5799,0
32,1,1,TANK,26,9,13,11806,0,17925
32,2,1,DAMAGE,19,9,9,9741,117,3504
32,3,1,DAMAGE,28,1,17,13073,1013,792
32,4,1,SUPPORT,16,21,10,3188,12818,729
32,5,1,SUPPORT,2,26,11,1858,13723,0
32,6,2,SUPPORT,18,16,7,4673,9626,0
32,7,2,DAMAGE,28,1,12,14274,623,1804
32,8,2,DAMAGE,41,1,10,13704,0,3523
