INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT
43,2,DAMAGE,9,0,9,7156,0,174
43,2,DAMAGE,9,0,10,5732,60,922
44,1,TANK,28,1,4,12468,0,23212
44,1,DAMAGE,23,6,7,11259,1122,0
44,1,DAMAGE,24,0,12,6648,0,742
44,1,SUPPORT,25,27,6,7287,10673,0
44,1,SUPPORT,8,21,7,3655,8008,1528
44,2,SUPPORT,8,17,11,2793,11215,573
44,2,DAMAGE,24,2,10,10793,0,324
44,2,SUPPORT,5,25,9,1253,14825,0
44,2,DAMAGE,17,2,12,6717,392,704
44,2,TANK,19,11,6,10165,0,12762
45,1,TANK,23,2,1,9292,0,8391
45,1,DAMAGE,21,2,5,9666,0,779
45,1,DAMAGE,22,0,6,6323,0,214
45,1,SUPPORT,16,10,6,3073,8706,567
45,1,SUPPORT,11,17,5,1784,7704,223
45,2,DAMAGE,12,4,7,5074,239,0
45,2,SUPPORT,5,11,4,1155,7813,788
45,2,SUPPORT,4,11,5,2398,8825,2105
45,2,TANK,14,0,8,9148,0,13124
45,2,DAMAGE,10,0,10,6965,0,1451
46,1,TANK,21,5,4,10458,0,10664
46,1,DAMAGE,18,9,2,7721,8,2034
46,1,DAMAGE,20,0,4,9586,1050,0
46,1,SUPPORT,7,9,6,4189,5010,440
46,1,SUPPORT,1,8,4,223,9062,799
46,2,DAMAGE,8,1,6,6587,1006,165
46,2,SUPPORT,5,4,8,3177,6942,295
46,2,TANK,14,5,8,7999,0,9379
46,2,DAMAGE,12,0,8,5685,70,246
46,2,SUPPORT,2,7,6,1990,10137,322
47,1,TANK,27,6,8,9039,0,23088
47,1,DAMAGE,26,2,10,9996,2228,0
47,1,DAMAGE,30,2,13,10184,0,1009
47,1,SUPPORT,23,22,13,6328,13092,823
47,1,SUPPORT,14,17,12,5901,15266,0
47,2,DAMAGE,20,7,14,8712,120,665
47,2,SUPPORT,20,20,10,4208,10745,197
47,2,TANK,33,2,7,18054,0,28435
47,2,SUPPORT,20,21,11,7425,9900,1378
47,2,DAMAGE,27,11,16,9493,486,0
48,1,TANK,32,5,5,9352,1421,4395
48,1,DAMAGE,24,7,1,7119,7,1392
48,1,DAMAGE,24,0,7,6683,0,574
48,1,SUPPORT,13,14,4,2480,7474,136
48,1,SUPPORT,21,24,4,3356,6479,260
48,2,TANK,13,3,10,6658,0,7225
48,2,SUPPORT,8,10,9,3329,8221,0
