Q,I,T,Ro,E,A,D,Dm,H,M,Re
R,48,2,T,19,4,5,8855,0,15940,V
R,48,2,S,5,11,8,2740,9802,500,V
R,48,2,S,4,20,1,1126,19447,1072,V
R,49,1,T,27,6,6,15825,0,24966,De
R,49,1,D,22,3,11,10134,483,2084,De
R,49,1,D,27,0,11,14168,907,1439,De
R,49,1,S,24,21,8,8770,20322,0,De
R,49,1,S,12,27,11,5294,11536,0,De
R,49,2,D,22,0,12,11206,174,766,V
R,49,2,S,13,34,5,3853,20035,0,V
R,49,2,T,31,6,9,15874,0,23622,V
R,49,2,S,18,19,5,4713,15915,1523,V
R,49,2,D,31,7,12,15251,75,1143,V
R,50,1,T,9,2,8,7480,0,15269,De
R,50,1,D,8,1,9,8072,88,327,De
R,50,1,D,13,1,9,8169,140,134,De
R,50,1,S,6,9,7,3581,6372,0,De
R,50,1,S,8,8,9,2201,8732,620,De
R,50,2,D,15,6,7,4252,96,537,V
R,50,2,T,37,5,4,13073,0,8404,V
R,50,2,S,10,31,1,1927,9509,701,V
R,50,2,D,23,3,7,7475,107,826,V
R,50,2,S,10,35,2,1978,12573,0,V
R,51,1,T,26,8,17,14797,0,22398,De
R,51,1,D,19,6,10,9965,40,3132,De
R,51,1,D,26,0,18,12652,0,3077,De
R,51,1,S,27,28,11,6873,18248,0,De
R,51,1,S,12,28,17,3422,15771,1897,De
R,51,2,D,30,3,14,14148,878,98,V
R,51,2,D,40,4,10,15150,619,290,V
R,51,2,S,23,32,10,5750,16765,875,V
R,51,2,T,41,3,6,19108,0,20700,V
R,51,2,S,25,28,9,6771,11626,347,V
R,52,1,T,11,1,5,9273,0,10892,De
R,52,1,D,12,0,7,5668,0,859,De
R,52,1,D,6,3,6,3313,916,0,De
R,52,1,S,3,7,2,1455,8669,203,De
R,52,1,S,0,10,3,18,8710,495,De
R,52,2,T,15,2,4,9656,0,4834,V
R,52,2,D,15,0,3,4710,559,0,V
R,52,2,S,9,14,4,2371,7233,0,V
R,52,2,D,12,1,3,8401,0,0,V
R,52,2,S,9,15,4,1906,5748,615,V
R,53,1,T,13,3,10,6045,0,9182,De
R,53,1,D,17,4,11,5853,62,0,De
R,53,1,D,19,0,9,7895,0,2406,De
R,53,1,S,5,14,6,4281,6186,1159,De
R,53,1,S,4,13,0,1543,11183,1276,De
R,53,2,D,20,4,6,7516,0,0,V
R,53,2,D,18,2,7,5990,0,374,V
R,53,2,S,15,24,5,3381,7845,0,V
R,53,2,S,15,18,4,4563,7775,287,V
R,53,2,T,24,14,5,9133,0,6677,V
R,54,1,T,13,2,6,8434,928,6359,De
R,54,1,D,12,3,9,7363,473,0,De
R,54,1,D,11,4,4,7728,91,2451,De
R,54,1,S,5,4,5,2792,5556,698,De
R,54,1,S,0,12,4,78,12136,351,De
R,54,2,D,8,0,7,5704,0,0,V
R,54,2,S,7,17,4,1091,11675,0,V
R,54,2,D,16,4,5,6237,0,0,V
R,54,2,S,8,10,3,2709,8054,510,V
R,54,2,T,21,1,3,13929,0,6004,V
R,55,1,T,9,1,7,6596,0,7218,De
R,55,1,D,9,0,9,6551,0,1198,De
R,55,1,D,6,0,7,5643,67,2502,De
R,55,1,S,4,7,9,3952,8813,4854,De
R,55,1,S,5,6,6,2135,9350,312,De
R,55,2,D,25,12,5,8290,1429,5254,V
R,55,2,S,12,21,4,3699,6775,0,V
R,55,2,S,14,18,4,2615,9142,369,V
R,55,2,D,22,0,2,5810,0,106,V
R,55,2,T,29,6,2,10319,0,14764,V
R,56,1,T,10,1,5,6631,0,15580,De
R,56,1,D,15,2,5,5697,835,0,De
R,56,1,D,14,0,4,5679,0,967,De
R,56,1,S,6,13,5,3649,5531,0,De
R,56,1,S,4,7,5,768,5328,42,De
R,56,2,S,4,8,4,1562,6716,24,V
R,56,2,D,13,1,6,7189,0,144,V
R,56,2,S,7,12,5,1845,7232,0,V
R,56,2,D,15,2,4,6656,0,412,V
R,56,2,T,13,4,4,3881,0,7269,V
R,57,1,T,21,7,9,8165,0,23241,De
R,57,1,D,22,6,8,10047,0,4949,De
R,57,1,D,26,0,16,8501,0,1536,De
R,57,1,S,14,9,13,4340,10876,799,De
R,57,1,S,11,17,14,3095,12958,1084,De
R,57,2,D,20,0,8,9088,1138,49,V
R,57,2,D,30,7,11,9016,0,952,V
R,57,2,S,29,16,10,8232,7965,0,V
R,57,2,S,16,10,7,3674,8869,186,V
R,57,2,T,41,12,8,15843,0,7390,V
R,58,1,T,9,3,15,8763,1061,2726,De
R,58,1,D,11,4,4,9532,15,5760,De
R,58,1,D,15,1,13,7547,1288,0,De
R,58,1,S,3,2,9,3873,3780,40,De
R,58,1,S,3,10,9,858,14060,1411,De
R,58,2,D,25,7,5,7266,0,0,V
R,58,2,D,28,4,5,9395,1371,2667,V
R,58,2,S,22,20,3,5619,9192,251,V
R,58,2,S,13,22,5,2579,10559,23,V
R,58,2,T,38,12,4,14203,549,10479,V
R,59,1,T,21,2,7,11491,0,15412,De
R,59,1,D,23,1,15,11041,0,268,De
R,59,1,D,25,1,9,13574,1125,0,De
R,59,1,S,9,16,7,4155,8716,378,De
R,59,1,S,2,25,7,240,12712,865,De
