INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
31,1,TANK,31,3,10,12006,227,16959,LOSE
31,1,DAMAGE,28,2,5,11437,0,0,LOSE
31,1,DAMAGE,25,5,11,14180,96,488,LOSE
31,1,SUPPORT,11,24,9,3316,11446,469,LOSE
31,1,SUPPORT,14,34,5,3819,13468,1947,LOSE
31,2,TANK,17,4,12,9557,471,16111,WIN
31,2,DAMAGE,28,0,9,12360,130,1049,WIN
31,2,DAMAGE,14,0,9,9301,1337,0,WIN
31,2,SUPPORT,14,23,6,4888,11822,803,WIN
31,2,SUPPORT,12,16,11,4950,11473,155,WIN
32,1,TANK,25,2,8,12573,0,7913,LOSE
32,1,DAMAGE,25,4,4,15046,0,0,LOSE
32,1,DAMAGE,25,0,12,8952,0,508,LOSE
32,1,SUPPORT,5,22,6,347,15126,0,LOSE
32,1,SUPPORT,7,14,7,4076,11159,796,LOSE
32,2,TANK,21,11,9,8431,893,12495,WIN
32,2,DAMAGE,23,3,10,9625,0,2442,WIN
32,2,DAMAGE,18,3,8,8824,1310,0,WIN
32,2,SUPPORT,16,10,7,9468,11523,0,WIN
32,2,SUPPORT,10,15,9,3462,9329,872,WIN
33,1,TANK,41,5,11,21439,0,16011,LOSE
33,1,DAMAGE,40,7,5,17461,0,0,LOSE
33,1,DAMAGE,28,12,13,13681,0,0,LOSE
33,1,SUPPORT,2,42,6,420,20713,0,LOSE
33,1,SUPPORT,16,28,7,5419,20404,2572,LOSE
33,2,TANK,23,4,9,16983,311,23884,WIN
33,2,DAMAGE,21,4,9,13968,949,291,WIN
33,2,DAMAGE,20,4,15,11371,1213,2312,WIN
33,2,SUPPORT,13,21,13,2751,19898,756,WIN
33,2,SUPPORT,17,22,12,11278,14826,92,WIN
34,1,TANK,23,7,10,15259,0,13527,LOSE
34,1,DAMAGE,25,1,13,9826,285,55,LOSE
34,1,DAMAGE,31,5,8,12041,179,0,LOSE
34,1,SUPPORT,12,25,4,5057,12697,0,LOSE
34,1,SUPPORT,24,20,6,8733,13903,0,LOSE
34,2,TANK,24,4,6,13289,82,17859,WIN
34,2,DAMAGE,18,0,14,9755,0,232,WIN
34,2,DAMAGE,24,1,13,14930,0,0,WIN
34,2,SUPPORT,13,13,11,3618,15470,830,WIN
34,2,SUPPORT,9,25,10,2557,17752,0,WIN
35,1,TANK,15,5,8,8346,0,7000,LOSE
35,1,DAMAGE,13,1,5,6407,0,0,LOSE
35,1,DAMAGE,6,0,6,5328,720,566,LOSE
35,1,SUPPORT,4,13,6,774,7507,0,LOSE
35,1,SUPPORT,4,10,7,1556,4288,523,LOSE
35,2,TANK,18,5,3,6331,0,16036,WIN
35,2,DAMAGE,19,3,1,6803,0,0,WIN
35,2,DAMAGE,14,0,8,8406,0,236,WIN
35,2,SUPPORT,2,17,3,490,9275,0,WIN
35,2,SUPPORT,11,11,4,3338,5576,0,WIN
36,1,TANK,16,3,4,8370,0,6116,LOSE
36,1,DAMAGE,13,0,6,7834,0,0,LOSE
36,1,DAMAGE,12,2,7,7597,1075,103,LOSE
36,1,SUPPORT,7,7,9,3457,7132,0,LOSE
36,1,SUPPORT,1,10,7,419,6895,11,LOSE
36,2,TANK,16,3,3,5664,0,19044,WIN
36,2,DAMAGE,19,0,4,9054,1111,0,WIN
36,2,DAMAGE,17,1,6,8756,1110,133,WIN
36,2,SUPPORT,10,14,7,5064,7358,0,WIN
36,2,SUPPORT,2,6,7,1730,10311,82,WIN
37,1,TANK,3,0,2,3459,0,8868,LOSE
37,1,DAMAGE,7,1,3,5936,0,0,LOSE
37,1,DAMAGE,6,1,6,6102,741,0,LOSE
37,1,SUPPORT,0,6,2,127,6668,0,LOSE
37,1,SUPPORT,2,0,6,2810,4032,193,LOSE
37,2,TANK,14,2,3,4362,0,2488,WIN
37,2,DAMAGE,12,0,2,3333,263,1949,WIN
37,2,DAMAGE,12,0,0,5404,0,1738,WIN
37,2,SUPPORT,7,10,2,2408,6906,0,WIN
37,2,SUPPORT,3,12,2,952,5465,23,WIN
38,1,TANK,2,0,7,2575,0,4111,LOSE
38,1,DAMAGE,12,1,1,5261,0,0,LOSE
38,1,DAMAGE,11,2,2,6088,0,0,LOSE
38,1,SUPPORT,9,0,7,3859,3625,0,LOSE
38,1,SUPPORT,2,7,5,654,5964,0,LOSE
38,2,TANK,15,2,4,5985,1393,542,WIN
38,2,DAMAGE,11,8,3,3470,1971,0,WIN
38,2,DAMAGE,10,0,3,4646,0,235,WIN
38,2,SUPPORT,8,6,4,2769,3613,433,WIN
38,2,SUPPORT,8,9,5,1413,4164,0,WIN
39,1,TANK,10,0,8,6145,0,8106,LOSE
39,1,DAMAGE,10,2,5,6270,0,0,LOSE
39,1,DAMAGE,13,0,9,6905,0,0,LOSE
39,1,SUPPORT,17,5,8,7951,6701,196,LOSE
39,1,SUPPORT,0,16,7,0,9737,0,LOSE
39,2,TANK,23,1,4,10753,700,5697,WIN
39,2,DAMAGE,25,3,6,8791,0,1280,WIN
39,2,DAMAGE,14,2,8,7060,1306,0,WIN
39,2,SUPPORT,12,20,1,1512,8467,324,WIN
39,2,SUPPORT,4,16,3,617,9808,64,WIN
40,1,TANK,2,0,8,3685,350,3971,LOSE
40,1,DAMAGE,4,0,7,4299,0,0,LOSE
40,1,DAMAGE,5,0,7,2851,0,0,LOSE
40,1,SUPPORT,0,0,2,631,3397,0,LOSE
40,1,SUPPORT,0,5,4,98,5285,47,LOSE
40,2,TANK,17,4,2,7764,0,5942,WIN
40,2,DAMAGE,11,4,2,3314,0,0,WIN
40,2,DAMAGE,20,0,2,7321,0,198,WIN
40,2,SUPPORT,2,13,0,137,3373,0,WIN
40,2,SUPPORT,6,12,2,711,4784,341,WIN
41,1,TANK,36,2,11,17848,1982,6284,LOSE
41,1,DAMAGE,35,0,6,18042,0,0,LOSE
41,1,DAMAGE,37,6,8,15274,400,1211,LOSE
41,1,SUPPORT,15,22,11,6731,14901,1699,LOSE
41,1,SUPPORT,19,28,7,7049,14850,472,LOSE
41,2,TANK,23,10,6,17708,0,7725,WIN
41,2,DAMAGE,21,5,13,12103,1542,1506,WIN
41,2,DAMAGE,34,1,16,15304,1817,300,WIN
41,2,SUPPORT,2,24,13,946,17783,691,WIN
41,2,SUPPORT,12,14,10,5718,16086,804,WIN
42,1,TANK,2,1,4,2724,0,1999,LOSE
42,1,DAMAGE,2,0,2,3826,0,0,LOSE
42,1,DAMAGE,0,0,0,0,0,0,LOSE
42,1,SUPPORT,1,1,3,1359,1423,0,LOSE
42,1,SUPPORT,2,1,2,1323,2499,0,LOSE
42,2,TANK,10,2,0,2116,0,1168,WIN
42,2,DAMAGE,8,0,1,2072,0,0,WIN
42,2,DAMAGE,6,2,1,1427,1166,771,WIN
