Battletag,Eliminations,Deaths,Assists,Damage,Healing,Mitigated,Result
Haku,0,6,1,1643,2588,687,Defeat
Landon,2,4,1,2094,7281,108,Defeat
Vestola,14,1,1,6278,0,10916,Victory
JaeWoo,15,2,1,4190,0,0,Victory
sHockWave,20,1,8,7048,0,0,Victory
FiXa,18,0,17,2927,6255,20,Victory
Galaa,10,2,3,3989,2476,0,Victory
Vestola,26,6,5,10556,62,13592,Victory
JaeWoo,23,5,0,8541,9,1859,Victory
sHockWave,12,7,0,11262,0,0,Victory
FiXa,15,6,23,5629,8287,5876,Victory
Galaa,18,5,19,4552,10666,0,Victory
ZIYAD,23,5,10,7789,1058,14485,Defeat
Checkmate,16,7,0,8849,160,915,Defeat
LBBD7,22,7,0,10557,0,0,Defeat
Haku,11,7,12,3912,5831,2801,Defeat
Landon,14,8,12,3351,14784,0,Defeat
GagA,15,8,6,10606,1204,8750,Defeat
Kaneki,19,7,2,10364,0,0,Defeat
Pineapple,16,7,0,5828,0,0,Defeat
Farway2025,7,6,10,5125,8121,708,Defeat
HaoYoqian,8,9,11,3646,6354,2577,Defeat
Kellan,20,5,3,12357,1264,8836,Victory
seeker,14,8,1,7773,0,17,Victory
sugarfree,22,4,0,5895,0,0,Victory
Bliss,13,6,18,3735,8951,5521,Victory
cjay,18,5,17,4610,8456,1188,Victory
GagA,29,9,9,13977,2163,20032,Defeat
Kaneki,26,5,0,10284,0,0,Defeat
Pineapple,24,12,0,11783,0,0,Defeat
Farway2025,12,10,22,7389,12297,1165,Defeat
HaoYoqian,10,8,21,5612,11399,6070,Defeat
Kellan,25,5,9,17063,2070,20004,Victory
seeker,23,13,0,11493,0,0,Victory
sugarfree,29,5,0,9298,0,0,Victory
Bliss,17,9,21,6766,8332,4963,Victory
cjay,18,9,21,7126,11996,1753,Victory
Kellan,24,2,10,13006,733,13353,Victory
seeker,24,5,0,11594,0,0,Victory
sugarfree,23,3,0,6991,0,0,Victory
Bliss,10,5,13,3731,4587,1062,Victory
cjay,11,4,24,5362,9898,0,Victory
