INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
62,1,SUPPORT,52,22,2,16254,17248,0,VICTORY
62,2,TANK,21,4,14,14122,1124,9196,DEFEAT
62,2,DAMAGE,10,5,12,8873,228,0,DEFEAT
62,2,DAMAGE,15,0,13,15128,0,355,DEFEAT
62,2,SUPPORT,10,17,17,4359,10915,2209,DEFEAT
62,2,SUPPORT,2,14,8,1357,16977,699,DEFEAT
63,1,TANK,23,8,7,9581,0,23749,VICTORY
63,1,DAMAGE,20,0,2,8979,0,0,VICTORY
63,1,DAMAGE,27,2,7,14282,1863,0,VICTORY
63,1,SUPPORT,11,17,6,3508,13135,585,VICTORY
63,1,SUPPORT,22,14,8,8110,8389,1052,VICTORY
63,2,TANK,18,5,5,11466,0,14112,DEFEAT
63,2,DAMAGE,16,0,10,9217,0,1001,DEFEAT
63,2,DAMAGE,23,0,11,13616,1897,124,DEFEAT
63,2,SUPPORT,2,21,7,550,15623,618,DEFEAT
63,2,SUPPORT,9,15,8,2155,13073,1031,DEFEAT
64,1,TANK,6,1,1,4935,0,1896,VICTORY
64,1,DAMAGE,4,0,1,2540,0,0,VICTORY
64,1,DAMAGE,5,0,4,2127,0,1440,VICTORY
64,1,SUPPORT,0,2,1,225,2644,58,VICTORY
64,1,SUPPORT,0,4,2,0,3927,0,VICTORY
64,2,TANK,6,3,1,3472,0,1285,DEFEAT
64,2,DAMAGE,7,0,2,3210,0,0,DEFEAT
64,2,DAMAGE,0,0,0,0,0,0,DEFEAT
64,2,SUPPORT,1,3,2,356,2152,64,DEFEAT
64,2,SUPPORT,3,5,0,1283,2749,249,DEFEAT
65,1,TANK,22,11,3,8591,0,11045,VICTORY
65,1,DAMAGE,18,0,5,6721,0,0,VICTORY
65,1,DAMAGE,17,4,9,7580,0,1852,VICTORY
65,1,SUPPORT,15,13,4,3152,10147,1423,VICTORY
65,1,SUPPORT,14,17,4,1927,8554,0,VICTORY
65,2,TANK,18,1,9,7487,0,15140,DEFEAT
65,2,DAMAGE,14,6,7,7275,537,309,DEFEAT
65,2,DAMAGE,12,0,3,9033,0,139,DEFEAT
65,2,SUPPORT,9,13,6,4820,7601,254,DEFEAT
65,2,SUPPORT,0,0,0,0,0,0,DEFEAT
66,1,TANK,18,5,5,9379,0,6756,VICTORY
66,1,DAMAGE,20,0,4,9450,0,0,VICTORY
66,1,DAMAGE,24,1,3,10186,0,3547,VICTORY
66,1,SUPPORT,15,13,7,4467,8005,3030,VICTORY
66,1,SUPPORT,1,23,2,362,12282,398,VICTORY
66,2,TANK,14,5,7,9679,0,5848,DEFEAT
66,2,DAMAGE,13,3,6,7295,821,747,DEFEAT
66,2,DAMAGE,11,0,10,7228,0,1184,DEFEAT
66,2,SUPPORT,10,8,9,2972,8426,163,DEFEAT
66,2,SUPPORT,9,7,5,5028,11130,0,DEFEAT
